Jurnal Pendidikan Agama Islam Al-Thariqah	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/althariqah/index
J-SHMIC : Journal of English for Academic	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/jshmic/index
PUBLIKA : Jurnal Ilmu Administrasi Publik	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/JIAP/index
El-Thumuhat (الطموحات )	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/THUMUHAT/index
Journal of Renewable Energy &amp; Mechanics (REM)	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/REM/article/view/1252
Dinamika Pertanian	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/dinamikapertanian/index
WEDANA: Jurnal Kajian Pemerintahan, Politik dan Birokrasi	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/wedana/index
Al-Hikmah: Jurnal Agama dan Ilmu Pengetahuan	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/alhikmah/index
Mathematics Research and Education Journal	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/JPM/index
Syarikat: Jurnal Rumpun Ekonomi Syariah	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/syarikat/index
PEKA	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/Peka/index
KOBA	Journal	collected from a compatible aggregator		https://journal.uir.ac.id/index.php/koba/index
Conimbriga	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/conimbriga
Undecidabilities and Law	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/undecidabilitiesandlaw
Revista de História da Sociedade e da Cultura	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/rhsc
Revista Filosófica de Coimbra	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/rfc
Ploutarchos	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/ploutarchos
Notas Económicas	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/notaseconomicas
Boletim da Biblioteca Geral da Universidade de Coimbra	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/bbguc
Revista Portuguesa de Pedagogia	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/rppedagogia
Travessias	Journal	Not yet registered		https://impactum-journals.uc.pt/index.php/travessias
Revista de Estudos Literários	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/rel
Humanitas	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/humanitas
Cadernos de Geografia	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/cadernosgeografia
Antropologia Portuguesa	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/antropologiaportuguesa
Mediapolis - Journal of Communication, Journalism and Public Space	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/mediapolis
Revista de História das Ideias	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/rhi
Revista Estudos do Século XX	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/estudossecxx
Psychologica	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/psychologica
Boletim de Estudos Clássicos	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/bec
Joelho Journal of Architectural Culture	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/joelho
Revista Portuguesa de História	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/rph
Territorium	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/territorium
Biblos	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/biblos
Media &amp; Jornalismo	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/mj
PLATO JOURNAL	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/platojournal
Boletim do Arquivo da Universidade de Coimbra	Journal	collected from a compatible aggregator		https://impactum-journals.uc.pt/boletimauc
Policy and Governance Review	Journal	collected from a compatible aggregator		https://journal.iapa.or.id/pgr
Revue d'Études Autochtones	Journal	Not yet registered		https://www.erudit.org/fr/revues/reauto/
Drammaturgia	Journal	collected from a compatible aggregator		https://oajournals.fupress.net/index.php/drammaturgia/index
Umjetnost Riječi	Journal	collected from a compatible aggregator		http://umjetnostrijeci.ffzg.unizg.hr/?lang=en#
Studia Historiae Oeconomicae	Journal	collected from a compatible aggregator		https://www.degruyter.com/view/j/sho
